method,seed,last_train_return,best_train_return,last_test_return,best_test_return,last_llm_fd_records
baseline,1,0.2638,0.4453,0.2638,0.2638,
baseline,2,0.3859,0.5829,0.3859,0.3859,
baseline,3,0.1703,0.189,0.1703,0.1703,
penalty_0.0001,1,0.1721,0.3596,0.1721,0.1721,2000.0
penalty_0.0001,2,0.1372,0.3096,0.1372,0.1372,2000.0
penalty_0.0001,3,0.2074,0.3605,0.2074,0.2074,2000.0
penalty_0.0003,1,0.3103,0.6057,0.3103,0.3103,2000.0
penalty_0.0003,2,0.2318,0.5215,0.2318,0.2318,2000.0
penalty_0.0003,3,0.3418,0.6938,0.3418,0.3418,2000.0
penalty_0.001,1,0.218,0.3515,0.218,0.218,2000.0
penalty_0.001,2,0.3399,0.6256,0.3399,0.3399,2000.0
penalty_0.001,3,0.1739,0.2745,0.1739,0.1739,2000.0
