env,method,seed,last_train_return,best_train_return,last_test_return,best_test_return,last_llm_fd_records
lbf10x10,baseline,1,0.19,0.2083,0.19,0.19,
lbf10x10,baseline,2,0.2995,0.2995,0.2995,0.2995,
lbf10x10,baseline,3,0.1493,0.1493,0.1493,0.1493,
lbf10x10,fd_shaping,1,0.1356,0.1888,0.1356,0.1356,1980.4
lbf10x10,fd_shaping,2,0.1973,0.2377,0.1973,0.1973,1842.0
lbf10x10,fd_shaping,3,0.1285,0.1545,0.1285,0.1285,2000.0
lbf8x8,baseline,1,0.435,0.9397,0.435,0.435,
lbf8x8,baseline,2,0.015,0.0742,0.015,0.015,
lbf8x8,baseline,3,0.59,0.9549,0.59,0.59,
lbf8x8,fd_shaping,1,0.475,0.9723,0.475,0.475,2000.0
lbf8x8,fd_shaping,2,0.43,0.9498,0.43,0.43,2000.0
lbf8x8,fd_shaping,3,0.46,0.9701,0.46,0.46,2000.0
