metric,cell,mean,std,n,ci_lo,ci_hi
perspective_diversity,hom_notom,0.13555369419174418,0.025785048240391916,5,0.11505843326651313,0.15491468631688704
perspective_diversity,hom_tom,nan,nan,0,nan,nan
perspective_diversity,het_notom,1.938996722692601,0.1503790230667832,5,1.8212588112292458,2.056816578195069
perspective_diversity,het_tom,0.538467076181147,0.07012568298541887,5,0.4890542689646303,0.6006967349518071
perspective_diversity,hom_notom_talk,nan,nan,0,nan,nan
perspective_diversity,hom_tom_talk,nan,nan,0,nan,nan
perspective_diversity,het_notom_talk,0.003664917765152949,0.0034631666085912314,5,0.0010076657412355402,0.006361570307269563
perspective_diversity,het_tom_talk,1.0905722408027123,0.05120041204803902,5,1.0483960819783262,1.1249399689557955
perspective_diversity,hom_atom,nan,nan,0,nan,nan
perspective_diversity,het_atom,0.18859372783923134,0.021187263570872195,5,0.17367700535259933,0.2065890866058274
perspective_diversity,het_atom_talk,nan,nan,0,nan,nan
perspective_diversity,het_gated_talk_tom,0.006444249495463061,0.005980526760554549,5,0.0024841555268813598,0.011643301826054917
perspective_diversity,het_gated_atom_talk,0.013067572400144375,0.011291975828911376,5,0.005739025308764997,0.02299685067108357
cooperation_payoff,hom_notom,2.3247999999999998,0.11601379228350392,5,2.2367999999999997,2.414479999999999
cooperation_payoff,hom_tom,nan,nan,0,nan,nan
cooperation_payoff,het_notom,0.5488000000000001,0.030384206423732758,5,0.5247999999999999,0.5728000000000001
cooperation_payoff,het_tom,1.2448,0.05078582479393241,5,1.2031999999999998,1.2823999999999998
cooperation_payoff,hom_notom_talk,nan,nan,0,nan,nan
cooperation_payoff,hom_tom_talk,nan,nan,0,nan,nan
cooperation_payoff,het_notom_talk,1.7760000000000002,0.047916594202843735,5,1.7447799999999998,1.8168
cooperation_payoff,het_tom_talk,0.8480000000000001,0.04525483399593897,5,0.8152000000000001,0.884
cooperation_payoff,hom_atom,nan,nan,0,nan,nan
cooperation_payoff,het_atom,1.5696,0.034246167668806345,5,1.548,1.6008
cooperation_payoff,het_atom_talk,nan,nan,0,nan,nan
cooperation_payoff,het_gated_talk_tom,1.5799999999999996,0.06267375846396953,5,1.5311999999999997,1.6255999999999997
cooperation_payoff,het_gated_atom_talk,1.7335999999999998,0.05668156666853893,5,1.6895999999999998,1.7776
equilibrium_convergence,hom_notom,0.9696,0.021466252583997956,5,0.9536,0.9856
equilibrium_convergence,hom_tom,nan,nan,0,nan,nan
equilibrium_convergence,het_notom,0.9856,0.014310835055998667,5,0.9743999999999999,0.9968
equilibrium_convergence,het_tom,0.9776,0.017343586710943014,5,0.9632,0.9904
equilibrium_convergence,hom_notom_talk,nan,nan,0,nan,nan
equilibrium_convergence,hom_tom_talk,nan,nan,0,nan,nan
equilibrium_convergence,het_notom_talk,0.9088,0.04753104248804138,5,0.8656,0.9328
equilibrium_convergence,het_tom_talk,0.9743999999999999,0.01431083505599861,5,0.9616000000000001,0.984
equilibrium_convergence,hom_atom,nan,nan,0,nan,nan
equilibrium_convergence,het_atom,0.9776,0.02219909908081855,5,0.96,0.9936
equilibrium_convergence,het_atom_talk,nan,nan,0,nan,nan
equilibrium_convergence,het_gated_talk_tom,0.9072000000000001,0.03179937106296289,5,0.8831999999999999,0.9328000000000001
equilibrium_convergence,het_gated_atom_talk,0.9728,0.020861447696648466,5,0.9568,0.9904
tom_prediction_accuracy,hom_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,hom_tom,nan,nan,0,nan,nan
tom_prediction_accuracy,het_notom,nan,nan,0,nan,nan
tom_prediction_accuracy,het_tom,0.5176000000000001,0.023933240482642566,5,0.4992,0.536
tom_prediction_accuracy,hom_notom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,hom_tom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,het_notom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,het_tom_talk,0.46440000000000003,0.012280065146406989,5,0.45760000000000006,0.47519999999999996
tom_prediction_accuracy,hom_atom,nan,nan,0,nan,nan
tom_prediction_accuracy,het_atom,0.5992,0.008318653737234175,5,0.5928,0.6056
tom_prediction_accuracy,het_atom_talk,nan,nan,0,nan,nan
tom_prediction_accuracy,het_gated_talk_tom,0.4404,0.02303909720453473,5,0.4224,0.4588
tom_prediction_accuracy,het_gated_atom_talk,0.5848,0.013084341787036912,5,0.5748,0.5948
gate_trust_rate,het_gated_talk_tom,0.6703999999999999,0.03169858040985429,5,0.6468,0.6960000000000001
gate_trust_rate,het_gated_atom_talk,0.72,0.010954451150103331,5,0.7116,0.7283999999999999
gated_prediction_accuracy,het_gated_talk_tom,0.5372,0.03318433365309603,5,0.508,0.5572000000000001
gated_prediction_accuracy,het_gated_atom_talk,0.5831999999999999,0.021428952377566174,5,0.5660000000000001,0.5984
signal_accuracy,het_gated_talk_tom,0.5748,0.02156849554326863,5,0.5588000000000001,0.5927999999999999
signal_accuracy,het_gated_atom_talk,0.5648000000000001,0.015594870951694303,5,0.5528000000000001,0.5768
tom_belief_accuracy_in_gated,het_gated_talk_tom,0.4404,0.02303909720453473,5,0.4224,0.4588
tom_belief_accuracy_in_gated,het_gated_atom_talk,0.5848,0.013084341787036912,5,0.5748,0.5948
