seed,cell,perspective_diversity,cooperation_payoff,payoff_ci_lo,payoff_ci_hi,equilibrium_convergence,tom_prediction_accuracy,tom_ci_lo,tom_ci_hi,n_episodes,wall_time_s
4,hom_notom,0.07981479297867311,2.61,2.27,2.88,0.94,nan,nan,nan,20,24.1
4,hom_tom,0.11096778866950661,2.1599999999999997,1.9300000000000004,2.4,0.98,0.66,0.595,0.725,20,77.5
4,het_notom,1.6952832392363772,0.56,0.4600000000000001,0.6699999999999999,0.92,nan,nan,nan,20,15.7
4,het_tom,0.49408378965099986,1.3599999999999999,1.1,1.6600000000000001,0.9199999999999999,0.565,0.495,0.635,20,78.3
4,hom_notom_talk,0.0,2.5200000000000005,2.4699999999999998,2.5700000000000003,0.96,nan,nan,nan,20,29.0
4,hom_tom_talk,0.07075411934478637,2.37,2.2,2.54,1.0,0.675,0.6148750000000002,0.74,20,88.2
4,het_notom_talk,0.001336548124304799,1.7200000000000002,1.54,1.9000000000000004,0.9400000000000001,nan,nan,nan,20,25.7
4,het_tom_talk,1.305591547608087,0.6499999999999999,0.39,0.9100000000000001,0.9800000000000001,0.47,0.405,0.535,20,87.0
4,hom_atom,0.0215759311489873,2.27,2.0300000000000002,2.52,0.94,0.675,0.6098750000000002,0.74,20,87.6
4,het_atom,0.3543334210498379,1.3,1.0697500000000002,1.5099999999999998,0.74,0.54,0.47,0.61,20,146.5
4,het_atom_talk,0.9513501588572614,0.95,0.6797500000000004,1.2100000000000004,1.0,0.49,0.415,0.56,20,120.3
