seed,cell,perspective_diversity,cooperation_payoff,payoff_ci_lo,payoff_ci_hi,equilibrium_convergence,tom_prediction_accuracy,tom_ci_lo,tom_ci_hi,n_episodes,wall_time_s
6,hom_notom,0.12326508108374794,2.4099999999999997,2.01,2.7399999999999998,0.98,nan,nan,nan,20,24.8
6,hom_tom,0.057112911335017974,2.27,2.0,2.54,0.96,0.71,0.645,0.775,20,74.9
6,het_notom,1.4615043350855845,0.68,0.5600000000000002,0.8,0.96,nan,nan,nan,20,15.6
6,het_tom,0.5567632461881794,1.1900000000000002,1.0,1.36,0.98,0.52,0.45,0.595,20,76.5
6,hom_notom_talk,0.0,2.5300000000000002,2.4699999999999998,2.5900000000000003,0.98,nan,nan,nan,20,30.1
6,hom_tom_talk,0.10947883539568048,2.4999999999999996,2.3599999999999994,2.6399999999999997,0.96,0.76,0.7,0.82,20,86.4
6,het_notom_talk,0.010896061645041678,1.83,1.6199999999999999,1.9899999999999998,0.84,nan,nan,nan,20,24.5
6,het_tom_talk,0.6438149370061751,1.2600000000000002,0.9200000000000002,1.6300000000000001,0.9400000000000001,0.635,0.57,0.7,20,84.0
6,hom_atom,0.02370681370246882,2.3200000000000007,2.1197500000000007,2.5200000000000005,0.98,0.685,0.62,0.745,20,73.5
6,het_atom,0.7357775655079769,1.0900000000000003,0.85,1.3000000000000003,0.9199999999999999,0.53,0.46,0.6,20,114.3
6,het_atom_talk,0.9215585257817873,1.0100000000000002,0.63,1.41,0.9400000000000001,0.5,0.43,0.565,20,114.8
