seed,cell,perspective_diversity,cooperation_payoff,payoff_ci_lo,payoff_ci_hi,equilibrium_convergence,tom_prediction_accuracy,tom_ci_lo,tom_ci_hi,n_episodes,wall_time_s
42,hom_notom,0.0,1.9,1.25,2.45,0.8,nan,nan,nan,10,1.5
42,het_notom,0.0,1.9,1.25,2.45,0.8,nan,nan,nan,10,0.0
42,het_gated_atom_talk,0.045700541525127175,2.2,1.85,2.5,0.9,0.45,0.3,0.6,10,0.0
42,het_dp_gated_atom_talk,0.045700541525127175,2.2,1.85,2.5,0.9,0.45,0.3,0.6,10,0.0
43,hom_notom,0.005025167926730537,1.6,1.1,2.05,1.0,nan,nan,nan,10,0.0
43,het_notom,0.005025167926730537,1.6,1.1,2.05,1.0,nan,nan,nan,10,0.0
43,het_gated_atom_talk,0.04715533973542288,1.3,1.1,1.55,1.0,0.375,0.225,0.525,10,0.0
43,het_dp_gated_atom_talk,0.04715533973542288,1.3,1.1,1.55,1.0,0.375,0.225,0.525,10,0.0
44,hom_notom,0.0,1.75,1.45,2.05,0.8,nan,nan,nan,10,0.0
44,het_notom,0.0,1.75,1.45,2.05,0.8,nan,nan,nan,10,0.0
44,het_gated_atom_talk,0.02013551355060783,1.8,1.3,2.2,1.0,0.425,0.275,0.575,10,1.1
44,het_dp_gated_atom_talk,0.02013551355060783,1.8,1.3,2.2,1.0,0.425,0.275,0.575,10,0.0
45,hom_notom,0.04569261951170703,1.65,1.15,2.1,0.5,nan,nan,nan,10,1.4
45,het_notom,0.04569261951170703,1.65,1.15,2.1,0.5,nan,nan,nan,10,0.0
45,het_gated_atom_talk,0.0,1.8,1.35,2.25,0.8,0.4,0.25,0.55,10,0.0
45,het_dp_gated_atom_talk,0.0,1.8,1.35,2.25,0.8,0.4,0.25,0.55,10,0.0
46,hom_notom,0.04569261951170703,1.7,1.05,2.25,0.7000000000000001,nan,nan,nan,10,0.0
46,het_notom,0.04569261951170703,1.7,1.05,2.25,0.7000000000000001,nan,nan,nan,10,0.0
46,het_gated_atom_talk,0.005782556039594461,2.05,1.65,2.45,0.9,0.625,0.475,0.775,10,0.0
46,het_dp_gated_atom_talk,0.005782556039594461,2.05,1.65,2.45,0.9,0.625,0.475,0.775,10,0.0
47,hom_notom,0.005025167926730537,1.45,1.0,1.85,1.0,nan,nan,nan,10,0.0
47,het_notom,0.005025167926730537,1.45,1.0,1.85,1.0,nan,nan,nan,10,0.0
47,het_gated_atom_talk,0.005146108701054919,1.55,1.05,2.05,0.9,0.5,0.35,0.6506249999999966,10,0.0
47,het_dp_gated_atom_talk,0.005146108701054919,1.55,1.05,2.05,0.9,0.5,0.35,0.6506249999999966,10,0.0
48,hom_notom,0.049856756174001926,1.7,1.2,2.2,0.8999999999999999,nan,nan,nan,10,0.0
48,het_notom,0.049856756174001926,1.7,1.2,2.2,0.8999999999999999,nan,nan,nan,10,0.0
48,het_gated_atom_talk,0.005008366846336772,1.8,1.15,2.35,0.7000000000000001,0.45,0.3,0.6,10,0.0
48,het_dp_gated_atom_talk,0.005008366846336772,1.8,1.15,2.35,0.7000000000000001,0.45,0.3,0.6,10,0.0
49,hom_notom,0.005291772569193304,1.6,1.3,1.9,0.9,nan,nan,nan,10,0.0
49,het_notom,0.005291772569193304,1.6,1.3,1.9,0.9,nan,nan,nan,10,0.0
49,het_gated_atom_talk,0.020067069546134617,1.8,1.2,2.4,0.9,0.5,0.35,0.65,10,0.0
49,het_dp_gated_atom_talk,0.020067069546134617,1.8,1.2,2.4,0.9,0.5,0.35,0.65,10,0.0
