method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,1,0.3607,0.6204,0.298778947368421,0.25969999999999993,0.3607,0.3607,2925.2
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,2,0.2122,0.3394,0.15572368421052632,0.12719999999999998,0.2122,0.2122,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,3,0.142,0.221,0.1276605263157895,0.07900000000000001,0.142,0.142,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,4,0.2356,0.4329,0.1901236842105263,0.1973,0.2356,0.2356,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,5,0.2241,0.3632,0.16092105263157894,0.13910000000000003,0.2241,0.2241,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,6,0.1669,0.3012,0.12057105263157897,0.13430000000000003,0.1669,0.1669,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,7,0.2111,0.3109,0.16992368421052634,0.0998,0.2111,0.2111,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,8,0.4082,0.7118,0.2877131578947369,0.3036,0.4082,0.4082,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,1,0.1557,0.2523,0.13781842105263162,0.09660000000000002,0.1557,0.1557,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,2,0.3448,0.5748,0.26744736842105266,0.22999999999999998,0.3448,0.3448,2939.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,3,0.1708,0.2125,0.1348184210526316,0.04169999999999999,0.1708,0.178,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,4,0.3981,0.7289,0.30293157894736833,0.3308,0.3981,0.3981,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,5,0.2695,0.4508,0.21261052631578953,0.18129999999999996,0.2695,0.2695,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,6,0.2591,0.2803,0.19539999999999996,0.021199999999999997,0.2591,0.2591,2982.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,7,0.2142,0.276,0.19517368421052628,0.06180000000000002,0.2142,0.2142,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0005_late045,8,0.3022,0.704,0.2230263157894737,0.40179999999999993,0.3022,0.3022,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,1,0.3009,0.5229,0.22148684210526318,0.22200000000000003,0.3009,0.3009,2999.2
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,2,0.2947,0.52,0.2103315789473684,0.2253,0.2947,0.2947,2996.2
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,3,0.2366,0.3588,0.1852184210526316,0.1222,0.2366,0.2366,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,4,0.2174,0.4095,0.16887105263157895,0.19209999999999997,0.2174,0.2174,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,5,0.2683,0.5266,0.20021842105263157,0.2583,0.2683,0.2683,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,6,0.267,0.4909,0.19906578947368428,0.2239,0.267,0.267,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,7,0.2412,0.2829,0.1982631578947368,0.04169999999999999,0.2412,0.2412,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_0.0005,8,0.2002,0.4342,0.1635368421052631,0.23399999999999999,0.2002,0.2002,3000.0
