method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,1,0.2589,0.3555,0.20298421052631577,0.09659999999999996,0.2589,0.2589,3000.0,28.194035516127677,0.0,153000.0,0.009398011838709225,51.0,2867.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,2,0.2943,0.5021,0.2527394736842105,0.20779999999999998,0.2943,0.2943,3000.0,27.70593096774074,0.0,153000.0,0.009235310322580247,51.0,2706.2
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,3,0.4448,0.7608,0.3377105263157895,0.31600000000000006,0.4448,0.4448,3000.0,27.990708677418215,0.0,151732.0,0.009330236225806072,50.577333333333335,2802.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,4,0.2789,0.3609,0.22940000000000005,0.08200000000000002,0.2789,0.2789,3000.0,27.594354483869644,0.0,153000.0,0.00919811816128988,51.0,2754.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,5,0.239,0.4183,0.2012605263157895,0.17930000000000001,0.239,0.239,3000.0,27.92984399999859,0.0,153000.0,0.00930994799999953,51.0,2837.0
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,6,0.2544,0.3652,0.2081184210526316,0.11080000000000001,0.2544,0.2544,3000.0,27.55779735483732,0.0,153000.0,0.00918593245161244,51.0,2770.0
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,7,0.4033,0.6234,0.3055921052631579,0.22009999999999996,0.4033,0.4033,3000.0,27.630659903224625,0.0,153000.0,0.009210219967741542,51.0,2685.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_adaptive_0.0003_late045,8,0.3068,0.5717,0.21304210526315792,0.26489999999999997,0.3068,0.3068,3000.0,28.046681709676104,0.0,153000.0,0.009348893903225368,51.0,2861.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,1,0.326,0.5674,0.2527921052631578,0.2414,0.326,0.326,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,2,0.3288,0.6327,0.24746578947368422,0.30390000000000006,0.3288,0.3288,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,3,0.23,0.3358,0.19972894736842106,0.10579999999999998,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,4,0.2123,0.3247,0.16520263157894735,0.1124,0.2123,0.2123,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,5,0.3862,0.6966,0.3074315789473685,0.3104,0.3862,0.3862,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,6,0.2098,0.2948,0.18289210526315788,0.08500000000000002,0.2098,0.2098,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,7,0.234,0.3721,0.2231657894736842,0.13809999999999997,0.234,0.234,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_baseline,8,0.4292,0.8026,0.31608421052631575,0.37339999999999995,0.4292,0.4292,0.0,0.0,0.0,0.0,0.0,0.0,
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,1,0.2599,0.3844,0.22181052631578946,0.1245,0.2599,0.2599,3000.0,31.502022604838064,0.8864999999999731,153000.0,0.010500674201612688,51.0,2771.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,2,0.3202,0.4818,0.25718157894736837,0.16160000000000002,0.3202,0.3202,3000.0,30.536922048386284,0.8732999999999745,153000.0,0.010178974016128762,51.0,2743.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,3,0.306,0.6157,0.2559736842105263,0.30970000000000003,0.306,0.306,3000.0,30.691629725805743,0.868799999999975,153000.0,0.010230543241935248,51.0,2790.6
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,4,0.2249,0.3336,0.1840421052631579,0.10870000000000002,0.2249,0.2249,3000.0,30.758981806450794,0.8921999999999725,153000.0,0.010252993935483599,51.0,2787.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,5,0.3137,0.5495,0.2309315789473684,0.2358,0.3137,0.3137,3000.0,29.54277370161217,0.8816999999999736,153000.0,0.009847591233870722,51.0,2813.6
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,6,0.2347,0.3293,0.20650526315789475,0.09459999999999999,0.2347,0.2347,3000.0,29.962648887095973,0.8822999999999735,153000.0,0.009987549629031992,51.0,2798.4
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,7,0.2596,0.4042,0.24621842105263161,0.1446,0.2596,0.2596,3000.0,30.400919854837824,0.8723999999999746,153000.0,0.010133639951612608,51.0,2701.6
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_random_type_budget_matched_0.0003_late045,8,0.2445,0.3053,0.19784473684210524,0.06080000000000002,0.2445,0.2445,3000.0,30.094622491934686,0.8864999999999731,153000.0,0.010031540830644895,51.0,2789.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,1,0.3005,0.5336,0.23392368421052634,0.23309999999999997,0.3005,0.3005,3000.0,34.372979999998876,0.0,153000.0,0.011457659999999625,51.0,2755.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,2,0.238,0.3969,0.21040263157894742,0.15889999999999999,0.238,0.238,3000.0,34.44641999999882,0.0,153000.0,0.011482139999999606,51.0,2794.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,3,0.2727,0.568,0.23565000000000003,0.29529999999999995,0.2727,0.2727,3000.0,34.62695999999876,0.0,153000.0,0.011542319999999587,51.0,2750.6
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,4,0.4225,0.7858,0.32709473684210516,0.36330000000000007,0.4225,0.4225,3000.0,34.65008999999875,0.0,152905.0,0.011550029999999583,50.968333333333334,2811.2
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,5,0.2769,0.3117,0.23552368421052636,0.0348,0.2769,0.2778,3000.0,34.397459999998894,0.0,153000.0,0.011465819999999632,51.0,2713.6
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,6,0.2662,0.352,0.2405052631578947,0.08579999999999999,0.2662,0.2662,3000.0,34.281179999998955,0.0,153000.0,0.011427059999999652,51.0,2719.0
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,7,0.2384,0.319,0.22664736842105265,0.0806,0.2384,0.2384,3000.0,34.209269999999016,0.0,153000.0,0.011403089999999672,51.0,2696.8
newlbf_lbforaging_Foraging-10x10-4p-4f-v3_uniform_budget_matched_0.0003_late045,8,0.2669,0.3216,0.22251578947368414,0.05469999999999997,0.2669,0.2669,3000.0,34.21691999999899,0.0,153000.0,0.011405639999999665,51.0,2724.6
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0002_late045,1,0.2327,0.4005,0.161421052631579,0.16780000000000003,0.2327,0.2327,3000.0,19.98262258064553,0.0,153000.0,0.0066608741935485095,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0002_late045,2,0.2681,0.5165,0.1986921052631579,0.24839999999999995,0.2681,0.2681,3000.0,19.86505935483908,0.0,153000.0,0.006621686451613026,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0002_late045,3,0.1957,0.4808,0.15946052631578955,0.2851,0.1957,0.1957,3000.0,19.641679354839084,0.0,153000.0,0.006547226451613028,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0002_late045,4,0.2706,0.4495,0.2295368421052632,0.1789,0.2706,0.2706,3000.0,19.121936709678074,0.0,153000.0,0.006373978903226025,51.0,2998.4
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late060,1,0.2033,0.3153,0.16676842105263145,0.11200000000000002,0.2033,0.2033,3000.0,29.938694516127658,0.0,153000.0,0.00997956483870922,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late060,2,0.4298,0.7423,0.3013526315789474,0.31249999999999994,0.4298,0.4298,3000.0,29.576666322579598,0.0,152766.0,0.009858888774193199,50.922,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late060,3,0.2883,0.6933,0.22806578947368414,0.405,0.2883,0.2883,3000.0,29.591443741934214,0.0,153000.0,0.009863814580644737,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0003_late060,4,0.2941,0.4907,0.21913157894736845,0.19660000000000005,0.2941,0.2941,3000.0,29.528012903224457,0.0,153000.0,0.009842670967741485,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,1,0.3607,0.6204,0.298778947368421,0.25969999999999993,0.3607,0.3607,3000.0,47.3493377419361,0.0,153000.0,0.015783112580645367,51.0,2925.2
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,2,0.2122,0.3394,0.15572368421052632,0.12719999999999998,0.2122,0.2122,3000.0,49.77057096774271,0.0,153000.0,0.0165901903225809,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,3,0.142,0.221,0.1276605263157895,0.07900000000000001,0.142,0.142,3000.0,49.69078064516207,0.0,153000.0,0.016563593548387358,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_adaptive_0.0005_late045,4,0.2356,0.4329,0.1901236842105263,0.1973,0.2356,0.2356,3000.0,49.708712903226576,0.0,153000.0,0.01656957096774219,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_budget_matched_0.0003_late045,1,0.2505,0.4806,0.19726578947368423,0.23010000000000003,0.2505,0.2505,3000.0,30.709993427418702,0.8825999999999735,153000.0,0.010236664475806234,51.0,2971.2
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_budget_matched_0.0003_late045,2,0.1236,0.2294,0.11460789473684209,0.10579999999999999,0.1236,0.1236,3000.0,30.905272016128535,0.8933999999999723,153000.0,0.010301757338709512,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_budget_matched_0.0003_late045,3,0.1962,0.3643,0.1599105263157895,0.1681,0.1962,0.1962,3000.0,33.49589516128969,0.8969999999999719,153000.0,0.011165298387096562,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_budget_matched_0.0003_late045,4,0.2242,0.2433,0.16945263157894733,0.019099999999999978,0.2242,0.2242,3000.0,32.738717903225215,0.8885999999999729,153000.0,0.010912905967741738,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,1,0.1599,0.3079,0.1540026315789474,0.14800000000000002,0.1599,0.1599,3000.0,37.99755000000108,0.0,153000.0,0.012665850000000358,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,2,0.2795,0.53,0.2066894736842105,0.2505,0.2795,0.2795,3000.0,36.50580000000075,0.0,153000.0,0.01216860000000025,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,3,0.3569,0.7144,0.24005263157894732,0.35750000000000004,0.3569,0.3569,3000.0,36.628200000000774,0.0,153000.0,0.012209400000000257,51.0,3000.0
sensitivity10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_budget_matched_0.0003_late045,4,0.2185,0.2883,0.18482368421052628,0.0698,0.2185,0.2185,3000.0,38.15514000000091,0.0,153000.0,0.012718380000000305,51.0,3000.0
