method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records,source_summary
vmascal_vmas-navigation_adaptive_p0.00003,1,7.5975,11.5165,4.8455272727272725,3.9190000000000005,7.5975,7.5975,1869.0,1.5969168000000056,0.0007199999999999999,91426.0,0.00085442311396469,48.91706795077582,1384.2,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,2,8.3202,11.8455,5.692322727272728,3.5252999999999997,8.3202,8.3202,1882.0,1.5898524000000032,0.00066,90805.0,0.0008447674814027647,48.249202975557914,1392.8,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,3,7.3245,11.3789,4.91185,4.0544,7.3245,7.3245,1889.0,1.6179660000000036,0.00069,92615.0,0.000856519851773427,49.02858655373213,1399.0,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,1,7.2031,11.9272,4.755713636363637,4.724099999999999,7.2031,7.2031,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,2,7.1555,11.6409,5.420804545454546,4.4854,7.1555,7.1555,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,3,7.5732,11.6297,5.21769090909091,4.0565,7.5732,7.5732,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_random_p0.00003,1,6.899,11.5966,4.816513636363636,4.6976,6.899,6.899,1850.0,1.8035247870967708,0.055080000000001246,91515.0,0.0009748782632955518,49.46756756756757,1380.0,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_random_p0.00003,2,7.2638,11.6123,5.360918181818183,4.3485,7.2638,7.2638,1861.0,1.7059339354838707,0.055080000000001246,90834.0,0.000916675945988109,48.80924234282644,1380.6,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_random_p0.00003,3,6.6333,11.4763,4.925459090909091,4.843,6.6333,6.6333,1855.0,1.7586842709677457,0.05490000000000123,91268.0,0.0009480777741066015,49.2010781671159,1383.6,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,1,7.7733,11.9998,5.04279090909091,4.226500000000001,7.7733,7.7733,1878.0,2.01428850000005,0.0010199999999999999,91069.0,0.0010725710862620073,48.49254526091587,1404.6,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,2,6.9703,11.8089,5.398218181818181,4.8386,6.9703,6.9703,1907.0,1.9930245000000546,0.0008699999999999998,90938.0,0.0010451098584163894,47.686418458311486,1400.8,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_uniform_p0.00003,3,6.3927,11.4132,4.656872727272728,5.0205,6.3927,6.3927,1884.0,2.024238000000054,0.0007799999999999999,91859.0,0.0010744363057325129,48.75743099787686,1401.8,results/round11_vmas_calibration_round11_pilot_20260706_160509/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,4,6.181,11.5108,4.466281818181819,5.3298,6.181,6.181,1876.0,1.6118172000000042,0.00045000000000000015,92026.0,0.0008591776119403008,49.05437100213219,1396.4,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,5,7.542,11.8072,4.760859090909091,4.2652,7.542,7.542,1889.0,1.5937656000000024,0.00063,91330.0,0.0008437086289041834,48.34833245103229,1397.6,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,6,6.5562,11.8371,4.666545454545455,5.2809,6.5562,6.5562,1863.0,1.5791232000000037,0.0006000000000000001,90348.0,0.0008476238325281824,48.49597423510467,1385.2,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,7,6.487,11.751,4.706877272727272,5.263999999999999,6.487,6.487,1872.0,1.5785112000000059,0.0008999999999999998,90758.0,0.0008432217948717981,48.48183760683761,1388.8,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_adaptive_p0.00003,8,7.4644,11.7624,5.422595454545454,4.297999999999999,7.4644,7.4644,1836.0,1.5819612000000118,0.00045000000000000015,90436.0,0.0008616346405228822,49.25708061002179,1371.0,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,4,5.1275,11.8394,4.6871363636363625,6.711899999999999,5.1275,5.1275,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,5,7.0116,11.901,4.583072727272728,4.8894,7.0116,7.0116,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
vmascal_vmas-navigation_baseline_p0.00003,6,8.4562,11.8026,5.535281818181818,3.346399999999999,8.4562,8.4562,0.0,0.0,0.0,0.0,0.0,0.0,,results/round11_vmas_calibration_round11_full_p00003_ext_20260707_073445/summary.csv
