method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
vmascal_vmas-navigation_adaptive_p0.00003,4,6.181,11.5108,4.466281818181819,5.3298,6.181,6.181,1876.0,1.6118172000000042,0.00045000000000000015,92026.0,0.0008591776119403008,49.05437100213219,1396.4
vmascal_vmas-navigation_adaptive_p0.00003,5,7.542,11.8072,4.760859090909091,4.2652,7.542,7.542,1889.0,1.5937656000000024,0.00063,91330.0,0.0008437086289041834,48.34833245103229,1397.6
vmascal_vmas-navigation_adaptive_p0.00003,6,6.5562,11.8371,4.666545454545455,5.2809,6.5562,6.5562,1863.0,1.5791232000000037,0.0006000000000000001,90348.0,0.0008476238325281824,48.49597423510467,1385.2
vmascal_vmas-navigation_adaptive_p0.00003,7,6.487,11.751,4.706877272727272,5.263999999999999,6.487,6.487,1872.0,1.5785112000000059,0.0008999999999999998,90758.0,0.0008432217948717981,48.48183760683761,1388.8
vmascal_vmas-navigation_adaptive_p0.00003,8,7.4644,11.7624,5.422595454545454,4.297999999999999,7.4644,7.4644,1836.0,1.5819612000000118,0.00045000000000000015,90436.0,0.0008616346405228822,49.25708061002179,1371.0
vmascal_vmas-navigation_baseline_p0.00003,4,5.1275,11.8394,4.6871363636363625,6.711899999999999,5.1275,5.1275,0.0,0.0,0.0,0.0,0.0,0.0,
vmascal_vmas-navigation_baseline_p0.00003,5,7.0116,11.901,4.583072727272728,4.8894,7.0116,7.0116,0.0,0.0,0.0,0.0,0.0,0.0,
vmascal_vmas-navigation_baseline_p0.00003,6,8.4562,11.8026,5.535281818181818,3.346399999999999,8.4562,8.4562,0.0,0.0,0.0,0.0,0.0,0.0,
vmascal_vmas-navigation_baseline_p0.00003,7,7.8802,11.606,4.635468181818182,3.7257999999999996,7.8802,7.8802,0.0,0.0,0.0,0.0,0.0,0.0,
vmascal_vmas-navigation_baseline_p0.00003,8,8.3579,11.8591,5.532268181818182,3.501199999999999,8.3579,8.3579,0.0,0.0,0.0,0.0,0.0,0.0,
vmascal_vmas-navigation_random_p0.00003,4,6.6385,11.5703,4.761681818181818,4.9318,6.6385,6.6385,1864.0,1.7732718677419375,0.055320000000001264,91418.0,0.0009513261093036145,49.04399141630901,1381.2
vmascal_vmas-navigation_random_p0.00003,5,7.3705,11.7685,4.5982318181818185,4.398,7.3705,7.3705,1865.0,1.7682404806451608,0.05526000000000126,90105.0,0.0009481182201850728,48.31367292225201,1376.8
vmascal_vmas-navigation_random_p0.00003,6,7.6079,11.7758,5.219468181818182,4.1679,7.6079,7.6079,1889.0,1.746097979032252,0.05592000000000131,91299.0,0.0009243504388736114,48.33192165166755,1393.4
vmascal_vmas-navigation_random_p0.00003,7,7.5759,11.8113,5.079804545454546,4.235399999999999,7.5759,7.5759,1863.0,1.737899453225811,0.05526000000000126,90639.0,0.0009328499480546489,48.65217391304348,1383.0
vmascal_vmas-navigation_random_p0.00003,8,7.7344,11.8587,5.263159090909091,4.124300000000001,7.7344,7.7344,1865.0,1.7422340032258072,0.05541000000000127,90461.0,0.0009341737282712103,48.50455764075067,1385.4
vmascal_vmas-navigation_uniform_p0.00003,4,7.0164,11.6766,4.801504545454546,4.660200000000001,7.0164,7.0164,1864.0,2.0126670000000577,0.0006000000000000001,91302.0,0.001079756974248958,48.98175965665236,1389.2
vmascal_vmas-navigation_uniform_p0.00003,5,6.3912,11.6624,4.381827272727272,5.271199999999999,6.3912,6.3912,1889.0,2.029791000000049,0.00108,91567.0,0.0010745320275278186,48.47379565907888,1412.6
vmascal_vmas-navigation_uniform_p0.00003,6,7.4318,11.9895,5.149081818181817,4.5577,7.4318,7.4318,1891.0,2.0008320000000532,0.0007799999999999999,90778.0,0.001058081438392413,48.005288207297724,1394.4
vmascal_vmas-navigation_uniform_p0.00003,7,7.3233,12.2281,5.097504545454546,4.9048,7.3233,7.3233,1857.0,2.0088150000000597,0.0006000000000000001,91008.0,0.0010817528271405813,49.00807754442649,1380.8
vmascal_vmas-navigation_uniform_p0.00003,8,8.1518,11.9481,5.493354545454545,3.7963000000000005,8.1518,8.1518,1871.0,2.003287500000056,0.0008099999999999998,90611.0,0.0010707041688936697,48.42918225547835,1382.2
