method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
vmascal_vmas-navigation_adaptive_p0.00001,1,8.1794,11.5942,5.116359090909091,3.4148000000000014,8.1794,8.1794,1871.0,0.5287536000000009,0.00027000000000000006,91130.0,0.0002826048102618925,48.706574024585784,1389.0
vmascal_vmas-navigation_adaptive_p0.00001,2,7.7038,11.7967,5.407918181818182,4.092899999999999,7.7038,7.7038,1901.0,0.5357279999999995,0.00024,91769.0,0.00028181378221988403,48.27406628090479,1410.4
vmascal_vmas-navigation_adaptive_p0.00001,3,7.02,11.2908,4.7955772727272725,4.270800000000001,7.02,7.02,1866.0,0.5354104000000007,0.00017,92056.0,0.0002869294748124334,49.333333333333336,1378.4
vmascal_vmas-navigation_adaptive_p0.00003,1,7.5975,11.5165,4.8455272727272725,3.9190000000000005,7.5975,7.5975,1869.0,1.5969168000000056,0.0007199999999999999,91426.0,0.00085442311396469,48.91706795077582,1384.2
vmascal_vmas-navigation_adaptive_p0.00003,2,8.3202,11.8455,5.692322727272728,3.5252999999999997,8.3202,8.3202,1882.0,1.5898524000000032,0.00066,90805.0,0.0008447674814027647,48.249202975557914,1392.8
vmascal_vmas-navigation_adaptive_p0.00003,3,7.3245,11.3789,4.91185,4.0544,7.3245,7.3245,1889.0,1.6179660000000036,0.00069,92615.0,0.000856519851773427,49.02858655373213,1399.0
vmascal_vmas-navigation_adaptive_p0.0001,1,8.2573,11.9422,5.340636363636364,3.684899999999999,8.2573,8.2573,1900.0,5.3172880000000315,0.0035999999999999977,91620.0,0.002798572631578964,48.22105263157895,1415.4
vmascal_vmas-navigation_adaptive_p0.0001,2,7.2164,11.7079,5.483495454545454,4.4915,7.2164,7.2164,1893.0,5.255712000000019,0.0029999999999999988,90746.0,0.0027763930269413726,47.93766508188061,1393.2
vmascal_vmas-navigation_adaptive_p0.0001,3,6.8282,11.6488,4.805813636363636,4.8206,6.8282,6.8282,1873.0,5.328844000000033,0.0023,91712.0,0.0028450848905499375,48.96529631607048,1385.4
vmascal_vmas-navigation_adaptive_p0.0003,1,6.8194,11.7573,4.59544090909091,4.937900000000001,6.8194,6.8194,1902.0,15.87912000000042,0.014099999999999998,91624.0,0.00834864353312325,48.17245005257624,1410.8
