method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,1,0.0,0.0009,0.00011250000000000001,0.0009,0.0,0.0,3000.0,29.66916774193408,0.0,153000.0,0.009889722580644692,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,2,0.0,0.0007,0.00011666666666666662,0.0007,0.0,0.0,3000.0,29.90641645161156,0.0,153000.0,0.009968805483870519,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,3,0.0,0.0002,2.916666666666667e-05,0.0002,0.0,0.0,3000.0,29.74023870967605,0.0,153000.0,0.00991341290322535,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,4,0.0,0.0001,4.166666666666667e-06,0.0001,0.0,0.0,3000.0,29.585659354837283,0.0,153000.0,0.009861886451612428,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,29.60189709677276,0.0,153000.0,0.009867299032257587,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,6,0.0,0.0002,2.916666666666667e-05,0.0002,0.0,0.0,3000.0,29.719361612901825,0.0,153000.0,0.009906453870967275,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,7,0.0,0.0003,3.7500000000000003e-05,0.0003,0.0,0.0,3000.0,29.749517419353506,0.0,153000.0,0.009916505806451169,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_adaptive_0.0003_late045,8,0.0,0.0003,5.833333333333334e-05,0.0003,0.0,0.0,3000.0,29.603377741934054,0.0,153000.0,0.009867792580644685,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,1,0.0,0.0002,2.916666666666667e-05,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,4,0.0,0.0002,2.916666666666667e-05,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,5,0.0,0.0003,3.7500000000000003e-05,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_baseline,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,1,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,32.261592338709114,0.4998000000000157,153000.0,0.010753864112903038,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,2,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,34.10747564516107,0.45540000000001235,153000.0,0.011369158548387022,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,3,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,32.08338435483817,0.5187000000000136,153000.0,0.010694461451612722,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,4,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,32.20612983870916,0.5214000000000133,153000.0,0.010735376612903053,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,32.55899225806404,0.5892000000000058,153000.0,0.010852997419354679,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,34.7298771774194,0.24869999999999698,153000.0,0.011576625725806465,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,7,0.0,0.0003,5.8333333333333326e-05,0.0003,0.0,0.0,3000.0,32.398946854838016,0.7001999999999936,153000.0,0.010799648951612673,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_random_type_budget_matched_0.0003_late045,8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,34.81586564516139,0.330600000000003,153000.0,0.01160528854838713,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,1,0.0,0.0003,7.5e-05,0.0003,0.0,0.0,3000.0,36.80415000000081,0.0,153000.0,0.01226805000000027,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,2,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,3,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,4,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,5,0.0,0.0003,3.7500000000000003e-05,0.0003,0.0,0.0,3000.0,36.80415000000081,0.0,153000.0,0.01226805000000027,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,7,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
maincoop_lbforaging_Foraging-10x10-3p-3f-coop-v3_uniform_budget_matched_0.0003_late045,8,0.0,0.0001,2.0833333333333333e-05,0.0001,0.0,0.0,3000.0,36.79650000000081,0.0,153000.0,0.012265500000000271,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,1,0.15,0.188,0.08987727272727272,0.038000000000000006,0.15,0.15,3000.0,29.84166290322442,0.0,153000.0,0.009947220967741473,51.0,2948.4
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,2,0.0833,0.1704,0.03885909090909091,0.0871,0.0833,0.0833,3000.0,29.676719032256614,0.0,153000.0,0.009892239677418872,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,3,0.4167,0.9329,0.26496363636363635,0.5162,0.4167,0.4167,3000.0,24.818224838709657,0.0014999999999999998,129977.0,0.00827274161290322,43.32566666666666,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,4,0.025,0.1315,0.017745454545454547,0.10650000000000001,0.025,0.025,3000.0,29.945258709675915,0.0,153000.0,0.009981752903225305,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,5,0.4083,0.9231,0.2561727272727273,0.5148,0.4083,0.4083,3000.0,25.864482580644754,0.0014999999999999998,135707.0,0.00862149419354825,45.23566666666667,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,6,0.0083,0.0254,0.00965,0.017099999999999997,0.0083,0.0125,3000.0,29.68338193548248,0.0,153000.0,0.009894460645160827,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,7,0.1917,0.5203,0.11498181818181817,0.3286,0.1917,0.1917,3000.0,29.920235806450215,0.0,153000.0,0.009973411935483406,51.0,2958.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_adaptive_0.0003_late045,8,0.0583,0.2016,0.03242272727272728,0.1433,0.0583,0.0583,3000.0,29.77794580645016,0.0,153000.0,0.009925981935483386,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,1,0.1167,0.3314,0.09221818181818181,0.21469999999999997,0.1167,0.1167,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,2,0.0,0.0073,0.0014083333333333335,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,3,0.3417,0.7457,0.1954227272727273,0.404,0.3417,0.3417,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,4,0.0167,0.1239,0.024504545454545456,0.10719999999999999,0.0167,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,5,0.3833,0.6681,0.16940454545454545,0.28480000000000005,0.3833,0.3833,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,6,0.0833,0.1962,0.049381818181818186,0.11290000000000001,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,7,0.375,0.7325,0.20164545454545457,0.35750000000000004,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_baseline,8,0.25,0.4611,0.10739545454545456,0.2111,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,1,0.1,0.2378,0.059800000000000006,0.1378,0.1,0.1,3000.0,34.600518145160486,0.8939999999999723,153000.0,0.011533506048386828,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,2,0.1583,0.3549,0.06995454545454544,0.1966,0.1583,0.1583,3000.0,32.870569354838096,0.8561999999999764,153000.0,0.0109568564516127,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,3,0.2583,0.6003,0.1555090909090909,0.34199999999999997,0.2583,0.2583,3000.0,32.83581120967694,0.8921999999999725,153000.0,0.010945270403225647,51.0,2958.4
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,4,0.2,0.4938,0.1387409090909091,0.2938,0.2,0.2,3000.0,33.921765725805905,0.8942999999999722,153000.0,0.011307255241935302,51.0,2916.8
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,5,0.4333,0.9021,0.27964999999999995,0.4688,0.4333,0.4333,3000.0,28.39621354838698,0.8846999999999733,134871.0,0.009465404516128994,44.957,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,6,0.3167,0.673,0.14804090909090908,0.35630000000000006,0.3167,0.3167,3000.0,32.68509387096724,0.8918999999999725,148673.0,0.010895031290322415,49.55766666666667,2938.2
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,7,0.175,0.4448,0.10999583333333333,0.2698,0.175,0.175,3000.0,32.556129677418696,0.8918999999999725,153000.0,0.010852043225806232,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_random_type_budget_matched_0.0003_late045,8,0.3583,0.7891,0.17731363636363634,0.4308,0.3583,0.3583,3000.0,32.403215564515556,0.8912999999999726,148937.0,0.010801071854838518,49.64566666666666,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,1,0.3583,0.7136,0.17720454545454545,0.3553,0.3583,0.3583,3000.0,37.2019500000009,0.0,153000.0,0.0124006500000003,51.0,2986.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,2,0.0083,0.0245,0.0074818181818181815,0.0162,0.0083,0.0125,3000.0,36.80415000000081,0.0,153000.0,0.01226805000000027,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,3,0.2833,0.6682,0.16870454545454547,0.3849,0.2833,0.2833,3000.0,37.24020000000091,0.0,153000.0,0.012413400000000303,51.0,2948.4
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,4,0.0083,0.0763,0.017499999999999995,0.068,0.0083,0.0125,3000.0,36.93420000000084,0.0,153000.0,0.012311400000000281,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,5,0.3833,0.8913,0.23089545454545457,0.508,0.3833,0.3833,3000.0,32.963249999999874,0.0021,139585.0,0.010987749999999958,46.528333333333336,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,6,0.075,0.2277,0.052054545454545444,0.1527,0.075,0.075,3000.0,37.14840000000089,0.0,153000.0,0.012382800000000296,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,7,0.0833,0.2624,0.06226818181818181,0.17910000000000004,0.0833,0.0833,3000.0,37.2172500000009,0.0,153000.0,0.0124057500000003,51.0,3000.0
smallcoop_lbforaging_Foraging-8x8-2p-2f-coop-v3_uniform_budget_matched_0.0003_late045,8,0.1,0.3137,0.06556818181818182,0.21369999999999997,0.1,0.1,3000.0,36.811800000000815,0.0,153000.0,0.012270600000000272,51.0,2997.0
