method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,1,0.334,0.6713,0.24850789473684207,0.3373,0.334,0.334,3000.0,28.63772552177457,0.7932599999999828,153000.0,0.009545908507258189,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,2,0.3223,0.7363,0.2189947368421053,0.414,0.3223,0.3223,3000.0,28.899309991935837,0.7975799999999826,153000.0,0.009633103330645279,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,3,0.3193,0.6967,0.21568421052631584,0.3774,0.3193,0.3193,3000.0,30.08809408064546,0.8089199999999823,153000.0,0.010029364693548487,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,4,0.2123,0.3102,0.21314736842105256,0.09789999999999999,0.2123,0.238,3000.0,29.138810269355336,0.8008199999999825,153000.0,0.009712936756451778,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,5,0.2052,0.2848,0.171428947368421,0.0796,0.2052,0.2052,3000.0,29.88283224193597,0.8054099999999824,153000.0,0.009960944080645323,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,6,0.2256,0.3663,0.1696315789473684,0.14070000000000002,0.2256,0.2256,3000.0,29.634594677419877,0.8037899999999825,153000.0,0.009878198225806626,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,7,0.2415,0.3407,0.20575789473684217,0.09920000000000001,0.2415,0.2415,3000.0,29.316763088710072,0.8037899999999825,153000.0,0.009772254362903358,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_random_actual_budget_matched,8,0.2486,0.4389,0.2009868421052631,0.19030000000000002,0.2486,0.2486,3000.0,29.712826045161663,0.8062199999999824,153000.0,0.00990427534838722,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,1,0.2012,0.3117,0.15730789473684212,0.11049999999999999,0.2012,0.2012,3000.0,29.706479999998564,0.0,153000.0,0.009902159999999521,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,2,0.1489,0.253,0.13275526315789477,0.1041,0.1489,0.1489,3000.0,29.363759999998607,0.0,153000.0,0.009787919999999535,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,3,0.1679,0.3295,0.13943421052631583,0.16160000000000002,0.1679,0.1679,3000.0,29.00267999999865,0.0,153000.0,0.009667559999999551,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,4,0.2366,0.2742,0.21148157894736844,0.037599999999999995,0.2366,0.25,3000.0,29.333771999998532,0.0,153000.0,0.009777923999999511,51.0,2994.6
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,5,0.1816,0.2655,0.1686605263157895,0.0839,0.1816,0.1816,3000.0,29.811131999998548,0.0,153000.0,0.009937043999999515,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,6,0.2048,0.2462,0.15706842105263158,0.04139999999999999,0.2048,0.2048,3000.0,29.59019999999858,0.0,153000.0,0.009863399999999526,51.0,3000.0
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,7,0.2773,0.601,0.21037105263157896,0.3237,0.2773,0.2773,3000.0,29.2413599999985,0.0,153000.0,0.0097471199999995,51.0,2972.6
actualbudget10_lbforaging_Foraging-10x10-3p-3f-v3_uniform_actual_budget_matched,8,0.334,0.5863,0.23504736842105256,0.2523,0.334,0.334,3000.0,29.04307199999858,0.0,153000.0,0.009681023999999526,51.0,3000.0
