method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,1,0.3339,0.4053,0.20730555555555552,0.07140000000000002,0.3339,0.3339,7409.0,8.305999999999443,73.46000000000252,7409.0,0.001121068970171338,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,2,0.1528,0.1936,0.13321666666666665,0.0408,0.1528,0.1528,7757.0,9.249999999999758,69.68000000000328,7757.0,0.0011924713162304703,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,3,0.1712,0.1929,0.14552777777777776,0.021699999999999997,0.1712,0.1837,7510.0,8.723999999999583,67.38000000000373,7510.0,0.0011616511318241788,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,4,0.3541,0.3541,0.19434999999999997,0.0,0.3541,0.3541,7931.0,8.285999999999436,81.00000000000102,7931.0,0.001044761064178469,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,5,0.2583,0.2583,0.17428888888888883,0.0,0.2583,0.2583,7383.0,8.307999999999444,65.88000000000403,7383.0,0.0011252878233779552,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,6,0.1867,0.2222,0.12408333333333335,0.035500000000000004,0.1867,0.1867,7785.0,9.277999999999768,71.28000000000296,7785.0,0.0011917790622992636,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,7,0.1507,0.2121,0.11968333333333334,0.06140000000000001,0.1507,0.1507,7627.0,8.941999999999656,70.92000000000303,7627.0,0.001172413793103403,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b002_p002,8,0.2085,0.2427,0.1696388888888889,0.03420000000000001,0.2085,0.2085,7367.0,8.255999999999426,68.0800000000036,7367.0,0.0011206732727025148,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b005_p002,1,0.2375,0.2398,0.1498222222222222,0.0023000000000000242,0.2375,0.2375,7718.0,9.083999999999703,182.3000000000072,7718.0,0.001176988857216857,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b005_p002,2,0.4547,0.6634,0.28021111111111113,0.2087,0.4547,0.4547,9392.0,9.599999999999875,275.6000000000284,9392.0,0.0010221465076660856,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b005_p002,3,0.2016,0.2813,0.1527333333333333,0.0797,0.2016,0.2016,8019.0,8.649999999999558,197.10000000001057,8019.0,0.0010786881157250976,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b005_p002,4,0.2424,0.2424,0.15213333333333334,0.0,0.2424,0.2424,7887.0,8.891999999999639,188.55000000000862,7887.0,0.0011274248763788054,1.0,
redesign10_lbforaging_Foraging-10x10-3p-3f-v3_outcome_contrast_b005_p002,5,0.2684,0.2684,0.17713333333333336,0.0,0.2684,0.2684,7535.0,8.65399999999956,165.35000000000335,7535.0,0.0011485069674850113,1.0,
