method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,1,0.239,0.239,0.16312777777777776,0.0,0.239,0.239,10160.0,0.0,0.0,510460.0,0.0,50.24212598425197,2753.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,2,0.1868,0.2407,0.1424333333333333,0.0539,0.1868,0.1868,10270.0,0.0,0.0,510683.0,0.0,49.72570593962999,2887.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,3,0.273,0.273,0.1709555555555556,0.0,0.273,0.273,10310.0,0.0,0.0,510574.0,0.0,49.522211445198835,2852.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,4,0.2086,0.2498,0.13922777777777778,0.04119999999999999,0.2086,0.2086,10480.0,0.0,0.0,510692.0,0.0,48.730152671755725,2893.2
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,5,0.2352,0.2609,0.14137777777777774,0.02570000000000003,0.2352,0.2352,10330.0,0.0,0.0,510597.0,0.0,49.428557599225556,2868.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,6,0.3696,0.5304,0.24606666666666666,0.1608,0.3696,0.3696,10850.0,0.0,0.0,510968.0,0.0,47.093824884792625,2589.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,7,0.2023,0.2723,0.1312777777777778,0.06999999999999998,0.2023,0.2023,10280.0,0.0,0.0,510309.0,0.0,49.640953307393,2783.4
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,8,0.2566,0.2933,0.16773888888888888,0.03670000000000001,0.2566,0.2566,10240.0,0.0,0.0,510547.0,0.0,49.85810546875,2935.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,1,0.2378,0.333,0.1706,0.0952,0.2378,0.2378,10350.0,0.0,0.0,510471.0,0.0,49.32086956521739,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,2,0.2828,0.4204,0.1671722222222222,0.1376,0.2828,0.2828,11060.0,0.0,0.0,511224.0,0.0,46.22278481012658,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,3,0.1933,0.2133,0.13723888888888885,0.01999999999999999,0.1933,0.1933,10170.0,0.0,0.0,510242.0,0.0,50.171288102261556,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,4,0.2214,0.269,0.14921666666666666,0.0476,0.2214,0.2214,10210.0,0.0,0.0,510637.0,0.0,50.01341821743389,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,5,0.227,0.352,0.16136666666666666,0.12499999999999997,0.227,0.227,10530.0,0.0,0.0,510902.0,0.0,48.518708452041786,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,6,0.171,0.2476,0.14006111111111108,0.07659999999999997,0.171,0.171,10170.0,0.0,0.0,510602.0,0.0,50.206686332350046,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,7,0.2022,0.241,0.15618333333333334,0.0388,0.2022,0.2022,10160.0,0.0,0.0,510399.0,0.0,50.236122047244095,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,8,0.302,0.335,0.1962388888888889,0.03300000000000003,0.302,0.302,10540.0,0.0,0.0,510805.0,0.0,48.4634724857685,
