method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,10,0.1877,0.2715,0.14066111111111113,0.08380000000000001,0.1877,0.1877,10300.0,0.0,0.0,510327.0,0.0,49.54631067961165,2755.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,11,0.1634,0.2379,0.11789999999999999,0.07450000000000001,0.1634,0.1634,10220.0,0.0,0.0,510328.0,0.0,49.93424657534246,2966.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,12,0.202,0.2243,0.12507777777777776,0.022299999999999986,0.202,0.202,10160.0,0.0,0.0,510522.0,0.0,50.24822834645669,2857.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,13,0.1687,0.2627,0.11440555555555555,0.094,0.1687,0.1687,10570.0,0.0,0.0,510689.0,0.0,48.31494796594134,2887.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,14,0.1572,0.2309,0.1160777777777778,0.07369999999999999,0.1572,0.1572,10200.0,0.0,0.0,510492.0,0.0,50.048235294117646,2798.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,15,0.1939,0.2242,0.1453388888888889,0.03030000000000002,0.1939,0.1939,10170.0,0.0,0.0,510660.0,0.0,50.21238938053097,2898.2
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,16,0.1779,0.2421,0.1386166666666667,0.06420000000000001,0.1779,0.1779,10220.0,0.0,0.0,510359.0,0.0,49.93727984344423,2692.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l005,9,0.1446,0.1741,0.11228333333333335,0.0295,0.1446,0.1446,10050.0,0.0,0.0,510390.0,0.0,50.78507462686567,2959.4
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,10,0.1856,0.247,0.1759722222222222,0.06140000000000001,0.1856,0.1856,10150.0,0.0,0.0,510570.0,0.0,50.30246305418719,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,11,0.2566,0.3099,0.15617222222222224,0.053300000000000014,0.2566,0.2566,10340.0,0.0,0.0,510621.0,0.0,49.3830754352031,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,12,0.2245,0.2399,0.13495555555555558,0.015399999999999997,0.2245,0.2245,10160.0,0.0,0.0,510318.0,0.0,50.22814960629921,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,13,0.3035,0.3134,0.20231666666666667,0.00990000000000002,0.3035,0.3035,10340.0,0.0,0.0,510414.0,0.0,49.36305609284333,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,14,0.2741,0.2741,0.15184999999999998,0.0,0.2741,0.2741,10240.0,0.0,0.0,510442.0,0.0,49.8478515625,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,15,0.3342,0.3342,0.1781,0.0,0.3342,0.3342,10710.0,0.0,0.0,510817.0,0.0,47.6953314659197,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,16,0.2987,0.425,0.1987888888888889,0.12629999999999997,0.2987,0.2987,11080.0,0.0,0.0,511127.0,0.0,46.13059566787003,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l005,9,0.2417,0.2417,0.14816111111111108,0.0,0.2417,0.2417,10390.0,0.0,0.0,510523.0,0.0,49.13599615014437,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,10,0.3105,0.3683,0.1912111111111111,0.05780000000000002,0.3105,0.3105,10990.0,0.0,0.0,511258.0,0.0,46.520291173794355,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,11,0.104,0.1237,0.08438333333333337,0.01970000000000001,0.104,0.104,10030.0,0.0,0.0,510499.0,0.0,50.897208374875376,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,12,0.2257,0.2714,0.1451944444444444,0.04569999999999996,0.2257,0.2257,10040.0,0.0,0.0,510519.0,0.0,50.848505976095616,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,13,0.1892,0.2141,0.12339444444444443,0.024900000000000005,0.1892,0.1892,10270.0,0.0,0.0,510334.0,0.0,49.69172346640701,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,14,0.0726,0.0982,0.06580555555555556,0.025599999999999998,0.0726,0.0776,10020.0,0.0,0.0,510034.0,0.0,50.901596806387225,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,15,0.2208,0.2233,0.15664444444444448,0.0025000000000000022,0.2208,0.2208,10160.0,0.0,0.0,510454.0,0.0,50.241535433070865,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,16,0.1591,0.1599,0.11761111111111111,0.0007999999999999952,0.1591,0.1599,10040.0,0.0,0.0,510422.0,0.0,50.83884462151394,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l005,9,0.1832,0.1832,0.12302777777777779,0.0,0.1832,0.1832,10080.0,0.0,0.0,510420.0,0.0,50.63690476190476,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,10,0.161,0.1975,0.13536111111111107,0.036500000000000005,0.161,0.161,10350.0,0.0,0.0,510807.0,0.0,49.35333333333333,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,11,0.3077,0.3226,0.18428888888888886,0.014900000000000024,0.3077,0.3077,10720.0,0.0,0.0,510877.0,0.0,47.65643656716418,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,12,0.317,0.4661,0.1834388888888889,0.1491,0.317,0.317,11270.0,0.0,0.0,511475.0,0.0,45.38376220053239,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,13,0.3238,0.4003,0.17922777777777776,0.07650000000000001,0.3238,0.3238,11010.0,0.0,0.0,511268.0,0.0,46.43669391462307,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,14,0.2129,0.2452,0.14197222222222222,0.032299999999999995,0.2129,0.2129,10210.0,0.0,0.0,510470.0,0.0,49.99706170421156,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,15,0.3784,0.4564,0.20370555555555556,0.07799999999999996,0.3784,0.3784,11280.0,0.0,0.0,511448.0,0.0,45.34113475177305,
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_weights_l005,16,0.2876,0.32,0.17454444444444445,0.032399999999999984,0.2876,0.2876,10800.0,0.0,0.0,510991.0,0.0,47.313981481481484,
