method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,1,0.2725,0.3172,0.2073222222222222,0.04469999999999996,0.2725,0.2725,10170.0,0.0,0.0,510536.0,0.0,50.200196656833825,2342.0
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,2,0.3332,0.4349,0.23631666666666667,0.10170000000000001,0.3332,0.3332,10280.0,0.0,0.0,510485.0,0.0,49.65807392996109,2250.2
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,3,0.3689,0.3689,0.21061666666666665,0.0,0.3689,0.3689,10200.0,0.0,0.0,510216.0,0.0,50.02117647058824,2273.6
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,4,0.3001,0.3037,0.19843888888888891,0.0036000000000000476,0.3001,0.3001,10060.0,0.0,0.0,510335.0,0.0,50.72912524850894,2348.0
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,5,0.2106,0.2543,0.16060555555555556,0.04370000000000002,0.2106,0.2106,10060.0,0.0,0.0,510541.0,0.0,50.74960238568588,2357.8
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,6,0.2773,0.3017,0.22078333333333333,0.024400000000000033,0.2773,0.2773,10120.0,0.0,0.0,510248.0,0.0,50.4197628458498,2241.2
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,7,0.2663,0.3152,0.2233,0.0489,0.2663,0.2663,10090.0,0.0,0.0,510549.0,0.0,50.59950445986125,2236.4
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_fa_pbrs_l005,8,0.2708,0.3199,0.20721111111111112,0.04910000000000003,0.2708,0.2708,10080.0,0.0,0.0,510298.0,0.0,50.62480158730159,2310.2
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,1,0.4026,0.4026,0.25492222222222227,0.0,0.4026,0.4026,10570.0,0.0,0.0,510620.0,0.0,48.308420056764426,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,2,0.3372,0.3372,0.2602666666666667,0.0,0.3372,0.3372,10300.0,0.0,0.0,510549.0,0.0,49.5678640776699,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,3,0.3014,0.3266,0.20946666666666663,0.0252,0.3014,0.3014,10220.0,0.0,0.0,510609.0,0.0,49.96174168297456,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,4,0.2483,0.2876,0.17632777777777775,0.03930000000000003,0.2483,0.2483,10110.0,0.0,0.0,510281.0,0.0,50.4728981206726,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,5,0.2423,0.2666,0.1637888888888889,0.024300000000000016,0.2423,0.2423,10050.0,0.0,0.0,510072.0,0.0,50.753432835820895,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,6,0.2814,0.3604,0.2386666666666667,0.07900000000000001,0.2814,0.2814,10120.0,0.0,0.0,510335.0,0.0,50.42835968379447,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,7,0.2513,0.3164,0.23326666666666668,0.06509999999999999,0.2513,0.2558,10090.0,0.0,0.0,510188.0,0.0,50.56372646184341,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_fixed_l005,8,0.2246,0.2882,0.2022611111111111,0.06360000000000002,0.2246,0.2246,10040.0,0.0,0.0,510340.0,0.0,50.830677290836654,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,1,0.2889,0.3472,0.24475,0.05830000000000002,0.2889,0.3046,10290.0,0.0,0.0,510307.0,0.0,49.59251700680272,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,2,0.2017,0.2584,0.1709833333333333,0.05670000000000003,0.2017,0.2017,10040.0,0.0,0.0,510509.0,0.0,50.847509960159364,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,3,0.2426,0.2954,0.19560555555555556,0.052799999999999986,0.2426,0.2426,10060.0,0.0,0.0,510344.0,0.0,50.73001988071571,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,4,0.2924,0.3278,0.20675555555555553,0.03539999999999999,0.2924,0.2924,10110.0,0.0,0.0,510480.0,0.0,50.49258160237389,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,5,0.245,0.245,0.17959999999999998,0.0,0.245,0.245,10030.0,0.0,0.0,510228.0,0.0,50.87018943170489,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,6,0.3318,0.4878,0.2433722222222222,0.15600000000000003,0.3318,0.3318,10550.0,0.0,0.0,510624.0,0.0,48.400379146919434,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,7,0.2731,0.2937,0.2324166666666667,0.020600000000000007,0.2731,0.2731,10050.0,0.0,0.0,510526.0,0.0,50.79860696517413,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_features_l005,8,0.1984,0.2501,0.15348333333333333,0.051699999999999996,0.1984,0.1984,10050.0,0.0,0.0,510143.0,0.0,50.76049751243781,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_weights_l005,1,0.3025,0.3144,0.21281111111111115,0.011900000000000022,0.3025,0.3025,10090.0,0.0,0.0,510172.0,0.0,50.5621407333994,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_weights_l005,2,0.3722,0.3722,0.2550666666666667,0.0,0.3722,0.3722,10140.0,0.0,0.0,510606.0,0.0,50.355621301775145,
pbrs10_lbforaging_Foraging-10x10-4p-4f-v3_pbrs_random_weights_l005,3,0.2875,0.3981,0.2124444444444444,0.11060000000000003,0.2875,0.2875,10230.0,0.0,0.0,510392.0,0.0,49.89169110459433,
