method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,1,0.3436,0.435,0.23515555555555556,0.09139999999999998,0.3436,0.3436,10520.0,0.0,0.0,510731.0,0.0,48.54857414448669,2503.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,2,0.2373,0.3219,0.1498222222222222,0.08460000000000001,0.2373,0.2373,10470.0,0.0,0.0,510724.0,0.0,48.77975167144221,2798.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,3,0.3389,0.3994,0.18447777777777777,0.0605,0.3389,0.3389,11090.0,0.0,0.0,511454.0,0.0,46.11848512173129,2844.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,4,0.3262,0.4053,0.18752222222222223,0.0791,0.3262,0.3262,11020.0,0.0,0.0,511180.0,0.0,46.386569872958255,2606.2
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,5,0.2847,0.2847,0.1481,0.0,0.2847,0.2847,10170.0,0.0,0.0,510485.0,0.0,50.19518190757129,2934.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,6,0.2057,0.244,0.1322388888888889,0.0383,0.2057,0.2057,10210.0,0.0,0.0,510327.0,0.0,49.98305582761998,2853.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,7,0.1973,0.2066,0.14791111111111108,0.009300000000000003,0.1973,0.2066,10140.0,0.0,0.0,510216.0,0.0,50.31715976331361,2854.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,8,0.2683,0.3609,0.17681666666666665,0.09260000000000002,0.2683,0.2683,10530.0,0.0,0.0,510531.0,0.0,48.48347578347578,2840.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,1,0.105,0.1869,0.11557222222222222,0.08190000000000001,0.105,0.1161,10080.0,0.0,0.0,510451.0,0.0,50.63998015873016,2992.8
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,2,0.2135,0.2841,0.15947777777777775,0.07060000000000002,0.2135,0.2135,10350.0,0.0,0.0,510614.0,0.0,49.334685990338166,2795.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,3,0.239,0.2832,0.17387222222222218,0.04420000000000002,0.239,0.239,10460.0,0.0,0.0,510655.0,0.0,48.8197896749522,2922.6
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,4,0.1346,0.197,0.10950000000000001,0.06240000000000001,0.1346,0.1449,10130.0,0.0,0.0,510210.0,0.0,50.36623889437315,2960.2
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,5,0.1407,0.1681,0.09525,0.027400000000000008,0.1407,0.1407,10140.0,0.0,0.0,510540.0,0.0,50.349112426035504,3000.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,6,0.2176,0.2176,0.1441611111111111,0.0,0.2176,0.2176,10250.0,0.0,0.0,510607.0,0.0,49.81531707317073,2932.0
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,7,0.2624,0.2881,0.1752,0.0257,0.2624,0.2624,10510.0,0.0,0.0,510628.0,0.0,48.584966698382495,2792.4
pbrs10_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l01,8,0.3305,0.4202,0.24632222222222222,0.0897,0.3305,0.3305,10610.0,0.0,0.0,510640.0,0.0,48.12818096135721,2701.6
