method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_shaping_triggers,last_llm_fd_shaping_penalty_total,last_llm_fd_shaping_terminal_bonus_total,last_llm_fd_shaping_episode_steps_total,last_llm_fd_shaping_avg_penalty_per_trigger,last_llm_fd_shaping_avg_steps_per_trigger,last_llm_fd_records
env300_lbforaging_Foraging-10x10-2p-3f-v3_baseline,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-10x10-2p-3f-v3_baseline,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-10x10-2p-3f-v3_fa_pbrs_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-10x10-2p-3f-v3_fa_pbrs_l002,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-10x10-2p-3f-v3_pbrs_random_features_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-10x10-2p-3f-v3_pbrs_random_features_l002,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_baseline,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_baseline,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_fa_pbrs_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_fa_pbrs_l002,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_pbrs_random_features_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-15x15-3p-5f-v3_pbrs_random_features_l002,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_baseline,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_baseline,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_fa_pbrs_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_fa_pbrs_l002,9,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_pbrs_random_features_l002,1,,,,,,,,,,,,,
env300_lbforaging_Foraging-8x8-2p-2f-v3_pbrs_random_features_l002,9,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_baseline,1,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_baseline,9,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,1,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_fa_pbrs_l002,9,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l002,1,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_fixed_l002,9,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l002,1,,,,,,,,,,,,,
long800_lbforaging_Foraging-10x10-3p-3f-v3_pbrs_random_features_l002,9,,,,,,,,,,,,,
