method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,6,0.0997,0.1766,0.0937394736842105,0.07690000000000001,0.0997,0.1056,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,7,0.1134,0.1627,0.0983315789473684,0.04930000000000001,0.1134,0.1134,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,8,0.1407,0.165,0.1148657894736842,0.024300000000000016,0.1407,0.1407,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,6,0.111,0.1546,0.10884210526315789,0.043599999999999986,0.111,0.1289,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,7,0.0828,0.1225,0.08310526315789475,0.0397,0.0828,0.0828,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,8,0.1085,0.1451,0.09771842105263158,0.03660000000000001,0.1085,0.1085,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,6,0.082,0.1315,0.07674473684210523,0.0495,0.082,0.082,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,7,0.0834,0.1434,0.08068947368421052,0.06,0.0834,0.0834,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,8,0.1332,0.153,0.09868157894736841,0.019799999999999984,0.1332,0.1332,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,6,0.1056,0.154,0.1002578947368421,0.0484,0.1056,0.1069,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,7,0.1396,0.1506,0.09276842105263161,0.01100000000000001,0.1396,0.1396,3000.0
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,8,0.1224,0.1224,0.09389210526315786,0.0,0.1224,0.1224,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,1,0.2505,0.4806,0.19726578947368423,0.23010000000000003,0.2505,0.2505,2971.2
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,2,0.1236,0.2294,0.11460789473684209,0.10579999999999999,0.1236,0.1236,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,3,0.1962,0.3643,0.1599105263157895,0.1681,0.1962,0.1962,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,4,0.2242,0.2433,0.16945263157894733,0.019099999999999978,0.2242,0.2242,3000.0
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,5,0.2143,0.278,0.17078157894736834,0.06370000000000003,0.2143,0.2143,3000.0
