method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,6,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,7,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,8,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,6,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,7,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_baseline,8,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,6,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,7,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_semantic_gate_0.0003_late045,8,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,6,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,7,,,,,,,
generalization_lbforaging_Foraging-12x12-3p-4f-v3_uniform_0.0002,8,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,1,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,2,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,3,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,4,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,5,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,6,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,7,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0002_late060,8,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,1,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,2,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,3,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,4,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,5,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,6,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,7,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late045,8,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,1,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,2,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,3,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,4,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,5,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,6,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,7,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_random_type_0.0003_late060,8,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,1,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,2,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,3,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,4,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,5,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,6,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,7,,,,,,,
main10x10_lbforaging_Foraging-10x10-3p-3f-v3_semantic_gate_0.0003_late045,8,,,,,,,
