method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,1,0.0969,0.1297,0.08601842105263162,0.03280000000000001,0.0969,0.1056,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,2,0.1436,0.1614,0.11634736842105267,0.017799999999999983,0.1436,0.1436,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,3,0.1305,0.1368,0.1013026315789474,0.0063,0.1305,0.1305,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,4,0.1308,0.1619,0.10723684210526316,0.03109999999999999,0.1308,0.1308,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,5,0.0758,0.0862,0.062202631578947384,0.010399999999999993,0.0758,0.0862,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,6,0.0997,0.1766,0.0937394736842105,0.07690000000000001,0.0997,0.1056,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,7,0.1134,0.1627,0.0983315789473684,0.04930000000000001,0.1134,0.1134,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,8,0.1407,0.165,0.1148657894736842,0.024300000000000016,0.1407,0.1407,3000.0
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,1,0.103,0.1517,0.09706842105263161,0.04870000000000001,0.103,0.1056,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,2,0.1186,0.1502,0.09898421052631579,0.0316,0.1186,0.1186,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,3,0.11,0.111,0.08646842105263156,0.0010000000000000009,0.11,0.11,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,4,0.09,0.1525,0.08905263157894736,0.0625,0.09,0.1096,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,5,0.0932,0.1391,0.07249473684210526,0.045899999999999996,0.0932,0.0932,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,6,0.111,0.1546,0.10884210526315789,0.043599999999999986,0.111,0.1289,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,7,0.0828,0.1225,0.08310526315789475,0.0397,0.0828,0.0828,
generalization12_lbforaging_Foraging-12x12-3p-4f-v3_baseline,8,0.1085,0.1451,0.09771842105263158,0.03660000000000001,0.1085,0.1085,
