method,seed,last_train_return,best_train_return,train_auc,stability_gap,last_test_return,best_test_return,last_llm_fd_records
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,10,0.0915,0.1077,0.07829473684210525,0.016200000000000006,0.0915,0.0915,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,11,0.0878,0.1031,0.0739421052631579,0.015299999999999994,0.0878,0.0878,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,12,0.1405,0.1543,0.0948842105263158,0.013799999999999979,0.1405,0.1405,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_adaptive_0.0003_late045,9,0.1076,0.1636,0.09543684210526317,0.055999999999999994,0.1076,0.1076,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_baseline,10,0.1216,0.1587,0.09255789473684212,0.03710000000000001,0.1216,0.1216,
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_baseline,11,0.1188,0.1396,0.07567894736842105,0.0208,0.1188,0.1188,
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_baseline,12,0.0779,0.1352,0.07146500000000001,0.05729999999999999,0.0779,0.0779,
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_baseline,9,0.1054,0.1671,0.08968421052631577,0.061700000000000005,0.1054,0.1054,
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_diagnosis_only,10,0.1216,0.1587,0.09255789473684212,0.03710000000000001,0.1216,0.1216,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_diagnosis_only,11,0.1188,0.1396,0.07567894736842105,0.0208,0.1188,0.1188,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_diagnosis_only,12,0.0779,0.1352,0.07146500000000001,0.05729999999999999,0.0779,0.0779,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_diagnosis_only,9,0.1054,0.1671,0.08968421052631577,0.061700000000000005,0.1054,0.1054,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_random_type_budget_matched_0.0003_late045,10,0.1088,0.2005,0.10144473684210527,0.09170000000000002,0.1088,0.1118,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_random_type_budget_matched_0.0003_late045,11,0.1169,0.1588,0.09526842105263161,0.04189999999999999,0.1169,0.1169,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_random_type_budget_matched_0.0003_late045,12,0.1187,0.1323,0.0805578947368421,0.013600000000000001,0.1187,0.1187,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_random_type_budget_matched_0.0003_late045,9,0.1486,0.1599,0.11312368421052629,0.011299999999999977,0.1486,0.1521,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,10,0.1008,0.1522,0.09209473684210528,0.0514,0.1008,0.1008,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,11,0.0745,0.1504,0.07052105263157894,0.07590000000000001,0.0745,0.0745,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,12,0.1055,0.1518,0.08349473684210525,0.046299999999999994,0.1055,0.1055,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_semantic_shuffled_budget_matched_0.0003_late045,9,0.0945,0.1449,0.08825526315789474,0.0504,0.0945,0.0945,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,10,0.147,0.2113,0.11384999999999997,0.0643,0.147,0.147,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,11,0.0717,0.1336,0.06416842105263156,0.0619,0.0717,0.0717,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,12,0.0501,0.0928,0.05790526315789473,0.042699999999999995,0.0501,0.0616,3000.0
lbf12ext_lbforaging_Foraging-12x12-3p-4f-v3_uniform_budget_matched_0.0003_late045,9,0.0706,0.101,0.06114999999999999,0.03040000000000001,0.0706,0.0706,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_adaptive_0.0003_late045,1,0.0,0.002,0.00032083333333333334,0.002,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_adaptive_0.0003_late045,2,0.0,0.002,0.0005541666666666667,0.002,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_adaptive_0.0003_late045,3,0.0,0.0016,0.00038333333333333324,0.0016,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_adaptive_0.0003_late045,4,0.0,0.0004,6.666666666666667e-05,0.0004,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_adaptive_0.0003_late045,5,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
rwaretiny_rware_rware-tiny-2ag-v2_baseline,1,0.0,0.0004,8.333333333333333e-05,0.0004,0.0,0.0,
rwaretiny_rware_rware-tiny-2ag-v2_baseline,2,0.0,0.0015,0.00037500000000000006,0.0015,0.0,0.0,
